Bradi2g53600	Os01t0823400-01
Bradi1g20830	Os07t0615900-02
Bradi2g45960	Os01t0666500-01
Bradi3g47930	Os04t0485400-02
Bradi1g08891	Os03t0745000-01
Bradi1g49805	Os12t0455000-01
Bradi4g00660	Os12t0636800-01
Bradi5g15627	Os07t0421000-01
Bradi3g02570	Os02t0125700-01
Bradi1g05390	Os03t0798200-01
Bradi1g27745	Os07t0483400-01
Bradi2g16520	Os05t0564200-01
Bradi3g56217	Os02t0729100-00
Bradi3g54710	Os02t0806000-01
Bradi1g10390	Os12t0530000-01
Bradi5g22400	Os04t0625600-01
Bradi2g52530	Os01t0800900-01
Bradi4g12893	Os11t0462500-00
Bradi4g29560	Os09t0386500-01
Bradi5g00540	Os04t0164900-01
Bradi2g46510	Os01t0678500-01
Bradi2g26090	Os05t0398000-02
Bradi3g03040	Os02t0133800-01
Bradi3g08637	Os02t0227400-01
Bradi3g42080	Os08t0546400-01
Bradi3g14270	Os08t0129900-00
Bradi2g08200	Os01t0237000-01
Bradi4g40550	Os12t0194700-01
Bradi2g31680	Os05t0241400-01
Bradi3g06254	Os03t0608700-01
Bradi5g05140	Os03t0804300-01
Bradi5g13816	Os01t0104500-01
Bradi5g12240	Os04t0458200-01
Bradi4g05917	Os12t0533800-01
Bradi5g07920	Os08t0430800-02
Bradi3g17101	Os12t0204100-01
Bradi1g51340	Os06t0139700-01
Bradi1g02107	Os03t0842900-01
Bradi1g49150	Os06t0153600-02
Bradi5g03530	Os11t0691280-00
Bradi1g20270	Os07t0634600-01
Bradi3g18140	Os08t0223900-01
Bradi2g57980	Os01t0904500-01
Bradi2g50250	Os01t0756600-01
Bradi5g26460	Os04t0681900-01
Bradi4g20338	Os11t0276000-01
Bradi1g10440	Os03t0721300-01
Bradi2g04220	Os01t0168600-01
Bradi2g07082	Os01t0218800-01
Bradi3g50740	Os02t0658800-01
Bradi1g14750	Os03t0610400-01
Bradi3g13150	Os08t0104400-01
Bradi3g60018	Os02t0781300-00
Bradi2g25870	Os05t0402300-02
Bradi4g39780	Os12t0231000-01
Bradi5g11230	Os04t0321100-00
Bradi3g51490	Os02t0673500-01
Bradi1g07750	Os03t0763000-01
Bradi5g26620	Os04t0685200-01
Bradi3g55410	Os02t0817600-01
Bradi1g14250	Os12t0601000-00
Bradi2g21980	Os05t0486200-01
Bradi2g20687	Os05t0501400-01
Bradi1g61260	Os03t0376100-01
Bradi3g54885	Os03t0295300-01
Bradi5g16830	Os04t0534300-01
Bradi3g37610	Os11t0241900-01
Bradi2g44020	Os05t0584200-01
Bradi3g01406	Os07t0554100-00
Bradi1g37470	Os02t0220100-00
Bradi1g11317	Os03t0711200-01
Bradi2g01420	Os01t0119000-01
Bradi4g20511	Os01t0930300-01
Bradi5g15850	Os02t0628200-01
Bradi3g27136	Os10t0431000-03
Bradi2g42932	Os01t0604700-01
Bradi5g22017	Os03t0306200-01
Bradi5g10980	Os04t0446500-02
Bradi3g22550	Os10t0167300-01
Bradi1g59470	Os07t0105800-00
Bradi2g47560	Os01t0701900-01
Bradi3g48540	Os02t0612000-01
Bradi2g36170	Os11t0212100-00
Bradi4g41040	Os12t0181600-01
Bradi4g37770	Os09t0558900-01
Bradi1g41840	Os06t0367500-01
Bradi1g64860	Os03t0300500-01
Bradi3g30790	Os10t0508500-00
Bradi5g01240	Os11t0507200-00
Bradi3g35340	Os08t0398800-02
Bradi3g34050	Os10t0573100-01
Bradi1g14660	Os03t0616300-01
Bradi3g24410	Os10t0351700-01
Bradi1g36400	Os06t0607800-01
Bradi1g21470	Os01t0610300-01
Bradi1g33260	Os06t0687100-01
Bradi1g62930	Os03t0341100-01
Bradi1g52220	Os02t0105500-01
Bradi1g62310	Os03t0352800-01
Bradi4g23380	Os11t0195100-00
