Bradi2g53600	Os01t0823400-01
Bradi1g20830	Os07t0615900-02
Bradi2g45960	Os01t0666500-01
Bradi3g47930	Os04t0485400-02
Bradi1g08891	Os03t0745000-01
Bradi1g49805	Os12t0455000-01
Bradi4g00660	Os12t0636800-01
Bradi5g15627	Os07t0421000-01
Bradi3g02570	Os02t0125700-01
Bradi1g05390	Os03t0798200-01
Bradi1g27745	Os07t0483400-01
Bradi2g16520	Os05t0564200-01
Bradi3g56217	Os02t0729100-00
Bradi3g54710	Os02t0806000-01
Bradi1g10390	Os12t0530000-01
Bradi5g22400	Os04t0625600-01
Bradi2g52530	Os01t0800900-01
Bradi4g12893	Os11t0462500-00
Bradi4g29560	Os09t0386500-01
Bradi5g00540	Os04t0164900-01
Bradi2g46510	Os01t0678500-01
Bradi2g26090	Os05t0398000-02
Bradi3g03040	Os02t0133800-01
Bradi3g08637	Os02t0227400-01
Bradi3g42080	Os08t0546400-01
Bradi3g14270	Os08t0129900-00
Bradi2g08200	Os01t0237000-01
Bradi4g40550	Os12t0194700-01
Bradi2g31680	Os05t0241400-01
Bradi3g06254	Os03t0608700-01
Bradi5g05140	Os03t0804300-01
Bradi5g13816	Os01t0104500-01
Bradi5g12240	Os04t0458200-01
Bradi4g05917	Os12t0533800-01
Bradi5g07920	Os08t0430800-02
Bradi3g17101	Os12t0204100-01
Bradi1g51340	Os06t0139700-01
Bradi1g02107	Os03t0842900-01
Bradi1g49150	Os06t0153600-02
Bradi5g03530	Os11t0691280-00
Bradi1g20270	Os07t0634600-01
Bradi3g18140	Os08t0223900-01
Bradi2g57980	Os01t0904500-01
Bradi2g50250	Os01t0756600-01
Bradi5g26460	Os04t0681900-01
Bradi4g20338	Os11t0276000-01
Bradi1g10440	Os03t0721300-01
Bradi2g04220	Os01t0168600-01
Bradi2g07082	Os01t0218800-01
Bradi3g50740	Os02t0658800-01
Bradi1g14750	Os03t0610400-01
Bradi3g13150	Os08t0104400-01
Bradi3g60018	Os02t0781300-00
Bradi2g25870	Os05t0402300-02
Bradi4g39780	Os12t0231000-01
Bradi5g11230	Os04t0321100-00
Bradi3g51490	Os02t0673500-01
Bradi1g07750	Os03t0763000-01
Bradi5g26620	Os04t0685200-01
Bradi3g55410	Os02t0817600-01
Bradi1g14250	Os12t0601000-00
Bradi2g21980	Os05t0486200-01
Bradi2g20687	Os05t0501400-01
Bradi1g61260	Os03t0376100-01
Bradi3g54885	Os03t0295300-01
Bradi5g16830	Os04t0534300-01
Bradi3g37610	Os11t0241900-01
Bradi2g44020	Os05t0584200-01
Bradi3g01406	Os07t0554100-00
Bradi1g37470	Os02t0220100-00
Bradi1g11317	Os03t0711200-01
Bradi2g01420	Os01t0119000-01
Bradi4g20511	Os01t0930300-01
Bradi5g15850	Os02t0628200-01
Bradi3g27136	Os10t0431000-03
Bradi2g42932	Os01t0604700-01
Bradi5g22017	Os03t0306200-01
Bradi5g10980	Os04t0446500-02
Bradi3g22550	Os10t0167300-01
Bradi1g59470	Os07t0105800-00
Bradi2g47560	Os01t0701900-01
Bradi3g48540	Os02t0612000-01
Bradi2g36170	Os11t0212100-00
Bradi4g41040	Os12t0181600-01
Bradi4g37770	Os09t0558900-01
Bradi1g41840	Os06t0367500-01
Bradi1g64860	Os03t0300500-01
Bradi3g30790	Os10t0508500-00
Bradi5g01240	Os11t0507200-00
Bradi3g35340	Os08t0398800-02
Bradi3g34050	Os10t0573100-01
Bradi1g14660	Os03t0616300-01
Bradi3g24410	Os10t0351700-01
Bradi1g36400	Os06t0607800-01
Bradi1g21470	Os01t0610300-01
Bradi1g33260	Os06t0687100-01
Bradi1g62930	Os03t0341100-01
Bradi1g52220	Os02t0105500-01
Bradi1g62310	Os03t0352800-01
Bradi4g23380	Os11t0195100-00
Bradi5g24590	Os04t0658300-01
Bradi1g41970	Os06t0367100-01
Bradi3g14980	Os08t0191600-01
Bradi3g48800	Os02t0616100-01
Bradi5g14640	Os04t0498600-01
Bradi2g00650	Os01t0106900-01
Bradi5g12260	Os04t0458300-01
Bradi1g34842	Os01t0156000-01
Bradi2g06340	Os01t0201800-00
Bradi2g56710	Os01t0877500-01
Bradi3g04147	Os02t0152600-01
Bradi3g14250	Os08t0129600-01
Bradi1g61270	Os03t0376000-01
Bradi4g40420	Os11t0555600-01
Bradi1g62910	Os08t0391700-00
Bradi2g02755	Os02t0669500-01
Bradi2g15220	Os04t0163800-01
Bradi3g34440	Os10t0575401-00
Bradi4g31740	Os09t0448500-01
Bradi1g50180	Os04t0397000-01
Bradi3g10650	Os02t0293400-01
Bradi1g50620	Os06t0116400-01
Bradi3g42500	Os08t0553100-00
Bradi5g08730	Os04t0393900-01
Bradi2g50290	Os01t0757400-02
Bradi1g42540	Os06t0500300-00
Bradi3g38917	Os01t0815800-01
Bradi3g34300	Os10t0577200-01
Bradi1g61145	Os03t0378832-00
Bradi1g60642	Os03t0392050-01
Bradi3g45535	Os02t0550400-01
Bradi4g39027	Os12t0288600-01
Bradi1g21630	Os07t0613200-00
Bradi1g19165	Os04t0638600-00
Bradi1g63910	Os03t0321700-01
Bradi2g14710	Os05t0587300-01
Bradi1g43250	Os02t0724500-00
Bradi1g78165	Os04t0604500-00
Bradi3g06530	Os02t0189000-01
Bradi1g26010	Os07t0523150-00
Bradi3g15420	Os08t0180000-01
Bradi3g10140	Os02t0273000-01
Bradi3g44700	Os02t0527300-01
Bradi2g28254	Os03t0288000-01
Bradi5g22040	Os04t0619600-01
Bradi2g12100	Os01t0321800-01
Bradi4g42980	Os12t0143100-01
Bradi4g43037	Os12t0141100-01
Bradi4g32230	Os09t0459600-01
Bradi5g18430	Os04t0564000-00
Bradi3g14530	Os08t0137300-01
Bradi4g33350	Os09t0481600-01
Bradi2g07650	Os01t0228600-01
Bradi4g43030	Os11t0145100-00
Bradi3g21898	Os08t0360000-01
Bradi3g23340	Os10t0377800-01
Bradi2g06497	Os01t0205900-01
Bradi3g31130	Os10t0519300-00
Bradi3g52500	Os02t0700300-01
Bradi2g26900	Os05t0387900-01
Bradi2g51610	Os01t0776700-01
Bradi2g18820	Os05t0533500-01
Bradi3g56132	Os07t0554900-01
Bradi3g16500	Os08t0157700-00
Bradi1g14210	Os03t0634000-01
Bradi5g09300	Os03t0646100-01
Bradi2g00792	Os09t0568700-01
Bradi1g13516	Os03t0664300-00
Bradi3g33420	Os10t0562000-01
Bradi4g32790	Os09t0470900-01
Bradi1g13807	Os03t0643700-01
Bradi2g51650	Os01t0777400-01
Bradi3g22887	Os10t0187500-01
Bradi1g14486	Os03t0622600-01
Bradi3g57880	Os02t0767600-00
Bradi3g51850	Os02t0683900-01
Bradi2g39960	Os05t0103100-01
Bradi3g22340	Os08t0345700-01
Bradi3g48020	Os02t0602500-01
Bradi4g07090	Os12t0496900-01
Bradi4g24040	Os11t0180000-01
Bradi3g27630	Os10t0442700-02
Bradi3g01510	Os02t0246500-00
Bradi1g20797	Os06t0300000-01
Bradi1g31920	Os05t0172100-01
Bradi4g34120	Os09t0497400-01
Bradi4g22653	Os11t0210201-00
Bradi4g26180	Os07t0629000-01
Bradi1g44560	Os06t0244700-01
Bradi4g28570	Os09t0359800-01
Bradi4g45037	Os12t0104400-01
Bradi1g06907	Os03t0777700-01
Bradi3g51340	Os02t0666800-01
Bradi2g58950	Os01t0920100-01
Bradi4g30437	Os09t0420300-01
Bradi3g43180	Os02t0468400-01
Bradi5g20875	Os04t0605200-01
Bradi2g09360	Os01t0259200-01
Bradi3g45337	Os02t0543400-01
Bradi3g36577	Os11t0526200-01
Bradi3g09690	Os02t0258200-01
Bradi3g17630	Os08t0200400-01
Bradi2g04622	Os01t0174600-01
Bradi4g33020	Os08t0490300-01
Bradi5g21930	Os04t0618200-02
Bradi4g09312	Os11t0479100-00
Bradi4g28510	Os09t0356800-01
Bradi2g16560	Os05t0563600-01
Bradi3g54200	Os02t0797500-01
Bradi3g09460	Os02t0250300-01
Bradi3g35510	Os08t0406400-01
Bradi2g18540	Os05t0536900-01
Bradi3g50050	Os02t0643200-01
Bradi2g18510	Os05t0537400-01
Bradi4g17150	Os11t0534100-00
Bradi2g38170	Os05t0127200-01
Bradi4g05360	Os12t0547600-01
Bradi4g38970	Os09t0572500-01
Bradi4g06800	Os12t0502500-01
Bradi1g54990	Os07t0187900-01
Bradi4g06310	Os05t0558900-01
Bradi5g20130	Os04t0594100-01
Bradi4g42560	Os12t0149900-01
Bradi3g55340	Os02t0816800-01
Bradi2g58667	Os01t0916300-01
Bradi5g15587	Os04t0515900-01
Bradi1g14380	Os03t0626200-01
Bradi1g24090	Os07t0571500-00
Bradi2g30437	Os02t0699000-01
Bradi1g48050	Os06t0172800-00
Bradi4g14620	Os07t0120650-01
Bradi5g16510	Os02t0639600-01
Bradi4g08400	Os09t0113000-01
Bradi3g00767	Os02t0104800-01
Bradi3g13200	Os08t0104900-01
Bradi3g37110	Os08t0436100-01
Bradi5g16350	Os04t0527800-01
Bradi1g48271	Os06t0166900-01
Bradi4g43937	Os11t0128500-01
Bradi3g38682	Os08t0484700-01
Bradi4g01300	Os12t0621100-01
Bradi3g54120	Os02t0796500-01
Bradi3g09300	Os02t0246300-00
Bradi4g00865	Os12t0633400-01
Bradi3g36260	Os08t0426866-00
Bradi1g28211	Os11t0268300-00
Bradi4g16242	Os10t0120300-01
Bradi5g17640	Os04t0550200-01
Bradi4g37040	Os09t0547300-01
Bradi4g16630	Os11t0547000-01
Bradi1g29300	Os06t0731800-01
Bradi2g21407	Os05t0491500-02
Bradi4g39590	Os12t0236500-01
Bradi1g62380	Os03t0351700-01
Bradi2g31140	Os03t0581600-01
Bradi2g54840	Os01t0846600-01
Bradi1g35600	Os06t0632200-01
Bradi4g43290	Os12t0137100-01
Bradi1g30920	Os06t0649800-01
Bradi4g43341	Os03t0643100-01
Bradi2g54900	Os01t0847800-01
Bradi4g05291	Os12t0551200-03
Bradi3g41630	Os08t0538700-01
Bradi3g06847	Os06t0622800-01
Bradi1g28727	Os07t0449700-01
Bradi1g02750	Os03t0833600-01
Bradi3g49460	Os01t0533400-01
Bradi1g68940	Os07t0489500-00
Bradi1g61200	Os03t0376900-01
Bradi2g56240	Os01t0869500-02
Bradi1g22210	Os07t0602600-01
Bradi3g40527	Os08t0523850-00
Bradi1g07380	Os03t0769050-00
Bradi1g15581	Os03t0578900-00
Bradi1g25260	Os07t0548900-01
Bradi3g07110	Os02t0196600-01
Bradi3g50760	Os01t0311600-01
Bradi3g42020	Os08t0544500-01
Bradi2g40000	Os05t0102600-01
Bradi2g36970	Os05t0135900-01
Bradi2g57590	Os01t0896500-01
Bradi4g42230	Os11t0153400-01
Bradi4g35400	Os09t0519100-00
Bradi5g13550	Os04t0480900-01
Bradi3g38100	Os08t0474700-01
Bradi1g06780	Os03t0780900-01
Bradi4g29120	Os09t0371200-01
Bradi4g15190	Os11t0582100-01
Bradi2g51517	Os01t0775300-01
Bradi3g38033	Os08t0475500-01
Bradi2g56700	Os01t0877400-01
Bradi1g12860	Os03t0667500-01
Bradi5g18510	Os04t0566000-01
Bradi5g01020	Os04t0185500-01
Bradi2g48580	Os01t0723500-00
Bradi3g27506	Os04t0306750-01
Bradi2g51190	Os01t0968300-01
Bradi1g60370	Os03t0399400-01
Bradi1g50990	Os06t0148000-01
Bradi3g51630	Os02t0677300-02
Bradi2g27687	Os05t0367900-01
Bradi1g32790	Os09t0300800-01
Bradi5g26760	Os02t0792600-01
Bradi2g43910	Os01t0622600-01
Bradi5g24930	Os04t0661600-01
Bradi4g37780	Os09t0559000-00
Bradi2g45950	Os01t0666400-01
Bradi5g19417	Os04t0584500-01
Bradi1g18890	Os08t0132100-00
Bradi1g74916	Os03t0151800-02
Bradi2g37592	Os01t0885500-01
Bradi4g31960	Os09t0453800-01
Bradi2g58460	Os01t0913100-01
Bradi3g46310	Os05t0327000-01
Bradi2g14680	Os05t0587400-01
Bradi4g36594	Os09t0540900-01
Bradi3g02060	Os02t0121400-00
Bradi4g28410	Os03t0408500-01
Bradi1g72620	Os03t0180700-01
Bradi5g01836	Os07t0197100-01
Bradi1g66490	Os03t0277000-01
Bradi5g22820	Os04t0631000-00
Bradi1g14760	Os10t0358700-01
Bradi4g28320	Os09t0338500-01
Bradi3g52537	Os02t0700700-01
Bradi3g53430	Os02t0717500-01
Bradi2g39537	Os11t0249000-01
Bradi2g06750	Os01t0210700-02
Bradi4g03680	Os12t0578400-01
Bradi5g20607	Os04t0600900-02
Bradi1g31860	Os06t0665100-01
Bradi4g42625	Os11t0150400-01
Bradi2g33670	Os05t0181200-01
Bradi1g54586	Os07t0197000-00
Bradi4g27797	Os09t0307800-02
Bradi2g14330	Os01t0574500-01
Bradi1g30520	Os02t0184400-01
Bradi2g01100	Os01t0112500-01
Bradi5g22090	Os04t0620200-01
Bradi2g04840	Os01t0177400-01
Bradi1g55160	Os07t0185700-01
Bradi3g16400	Os08t0159500-01
Bradi2g54020	Os01t0830900-00
Bradi4g40250	Os12t0209200-01
Bradi4g26079	Os07t0116300-01
Bradi3g32130	Os03t0121200-01
Bradi3g04100	Os02t0152300-01
Bradi1g01130	Os03t0854500-01
Bradi3g18810	Os06t0112300-01
Bradi1g69955	Os03t0214200-02
Bradi1g75570	Os08t0413000-00
Bradi2g46210	Os05t0562800-01
Bradi2g09830	Os01t0265900-00
Bradi4g10675	Os11t0130900-00
Bradi1g67380	Os03t0262400-01
Bradi1g49455	Os06t0124900-01
Bradi4g27570	Os09t0298200-01
Bradi1g34510	Os02t0138000-00
Bradi3g27950	Os10t0457500-01
Bradi3g35732	Os09t0373000-01
Bradi1g31721	Os07t0554900-01
Bradi1g21964	Os05t0596300-00
Bradi1g67900	Os03t0253100-01
Bradi1g64267	Os03t0311300-02
Bradi1g45320	Os06t0225100-01
Bradi2g21444	Os11t0476667-00
Bradi1g61560	Os06t0152700-01
Bradi3g54700	Os02t0805900-01
Bradi1g69660	Os03t0219400-01
Bradi2g13297	Os03t0441400-02
Bradi2g06271	Os01t0201250-00
Bradi3g37967	Os09t0454300-01
Bradi1g35881	Os02t0511800-01
Bradi4g43450	Os01t0347200-01
Bradi4g44850	Os11t0106900-01
Bradi3g56380	Os02t0726300-01
Bradi3g00440	Os06t0116600-01
Bradi5g22940	Os09t0129500-01
Bradi2g62250	Os11t0251400-02
Bradi1g73830	Os03t0168200-01
Bradi2g35700	Os05t0150733-00
Bradi1g22660	Os07t0597100-01
Bradi3g61050	Os01t0157500-00
Bradi1g36620	Os06t0603400-01
Bradi1g73080	Os03t0172700-01
Bradi1g55690	Os04t0303900-01
Bradi1g62731	Os03t0344700-01
Bradi5g02730	Os04t0186400-01
Bradi2g12320	Os01t0328900-01
Bradi1g35890	Os06t0618700-01
Bradi1g54200	Os07t0209000-01
Bradi1g05580	Os03t0795500-01
Bradi1g30550	Os06t0644200-01
Bradi2g34680	Os05t0163000-01
Bradi1g63816	Os03t0322900-01
Bradi2g40860	Os09t0261300-01
Bradi1g01460	Os03t0851800-01
Bradi2g34460	Os05t0168800-01
Bradi2g28087	Os05t0357700-01
Bradi1g69420	Os03t0224300-01
Bradi2g49620	Os01t0745700-01
Bradi3g07960	Os12t0629600-00
Bradi3g15473	Os08t0179000-01
Bradi4g30600	Os09t0423600-01
Bradi2g35707	Os05t0150600-01
Bradi2g07150	Os01t0220100-01
Bradi2g35463	Os01t0855400-00
Bradi1g76217	Os12t0608500-01
Bradi2g14610	Os05t0588850-00
Bradi3g46690	Os04t0456900-00
Bradi2g20270	Os05t0510400-01
Bradi5g10810	Os04t0440000-01
Bradi2g13740	Os01t0517500-01
Bradi1g01220	Os03t0853600-01
Bradi4g35030	Os07t0458700-01
Bradi1g30273	Os02t0187500-01
Bradi1g06900	Os03t0778000-01
Bradi3g56560	Os02t0722500-01
Bradi3g37960	Os08t0469400-00
Bradi5g12515	Os04t0438900-00
Bradi3g33920	Os10t0571100-01
Bradi2g32520	Os05t0210100-01
Bradi4g30617	Os09t0423800-01
Bradi2g39470	Os05t0107300-01
Bradi1g66660	Os03t0274800-01
Bradi3g46355	Os07t0231500-01
Bradi4g40054	Os12t0224500-01
Bradi1g73200	Os03t0170500-00
Bradi1g06930	Os03t0777500-01
Bradi1g24210	Os07t0569000-01
Bradi1g46590	Os06t0198500-00
Bradi3g33910	Os02t0279600-00
Bradi2g54205	Os01t0890400-00
Bradi3g09340	Os02t0247100-00
Bradi2g44450	Os01t0633200-01
Bradi1g30110	Os06t0716000-01
Bradi1g75460	Os03t0144000-02
Bradi3g36650	Os08t0433300-00
Bradi2g52870	Os01t0808400-01
