Ref	Query	dN	dS	dNdS
Bradi2g53600	Os01t0823400-01	0.1387	1.1924	0.1163
Bradi1g20830	Os07t0615900-02	0.0752	1.3476	0.0558
Bradi2g45960	Os01t0666500-01	0.0515	0.7129	0.0722
Bradi3g47930	Os04t0485400-02	0.0192	0.4934	0.0389
Bradi1g08891	Os03t0745000-01	0.1276	0.4909	0.2598
Bradi1g49805	Os12t0455000-01	0.1024	1.0496	0.0976
Bradi4g00660	Os12t0636800-01	1.3892	5.3691	0.2587
Bradi5g15627	Os07t0421000-01	0.0903	0.4055	0.2228
Bradi3g02570	Os02t0125700-01	0.1381	0.6295	0.2194
Bradi1g05390	Os03t0798200-01	0.0706	0.3765	0.1876
Bradi1g27745	Os07t0483400-01	0.1156	0.3429	0.3371
Bradi2g16520	Os05t0564200-01	0.0598	0.5956	0.1005
Bradi3g56217	Os02t0729100-00	0.0247	0.5642	0.0437
Bradi3g54710	Os02t0806000-01	0.1830	0.5061	0.3615
Bradi1g10390	Os12t0530000-01	0.0798	0.3534	0.2259
Bradi5g22400	Os04t0625600-01	0.1917	2.4694	0.0776
Bradi2g52530	Os01t0800900-01	0.1791	0.4491	0.3989
Bradi4g12893	Os11t0462500-00	0.7486	2.4722	0.3028
Bradi4g29560	Os09t0386500-01	0.1789	0.5191	0.3447
Bradi5g00540	Os04t0164900-01	0.0418	0.6679	0.0626
Bradi2g46510	Os01t0678500-01	0.4849	2.8714	0.1689
Bradi2g26090	Os05t0398000-02	0.0994	0.7354	0.1352
Bradi3g03040	Os02t0133800-01	0.2621	1.3732	0.1909
Bradi3g08637	Os02t0227400-01	0.1101	0.5873	0.1874
Bradi3g42080	Os08t0546400-01	0.0315	0.6940	0.0454
Bradi3g14270	Os08t0129900-00	0.0511	0.4288	0.1191
Bradi2g08200	Os01t0237000-01	0.1303	1.7874	0.0729
Bradi4g40550	Os12t0194700-01	0.0332	0.4575	0.0727
Bradi2g31680	Os05t0241400-01	0.4263	65.5434	0.0065
Bradi3g06254	Os03t0608700-01	0.4628	1.2168	0.3803
Bradi5g05140	Os03t0804300-01	0.9110	57.2383	0.0159
Bradi5g13816	Os01t0104500-01	0.1598	0.5290	0.3022
Bradi5g12240	Os04t0458200-01	0.0578	2.5746	0.0225
Bradi4g05917	Os12t0533800-01	0.1957	0.6914	0.2831
Bradi5g07920	Os08t0430800-02	0.0781	0.5345	0.1462
Bradi3g17101	Os12t0204100-01	0.3597	1.3076	0.2751
Bradi1g51340	Os06t0139700-01	0.0377	0.4988	0.0755
Bradi1g02107	Os03t0842900-01	0.1492	1.1318	0.1319
Bradi1g49150	Os06t0153600-02	0.1256	0.3616	0.3474
Bradi5g03530	Os11t0691280-00	0.2485	1.6761	0.1483
Bradi1g20270	Os07t0634600-01	0.0957	0.5885	0.1626
Bradi3g18140	Os08t0223900-01	0.2409	1.9498	0.1235
Bradi2g57980	Os01t0904500-01	0.1206	1.4169	0.0851
Bradi2g50250	Os01t0756600-01	0.4092	6.5872	0.0621
Bradi5g26460	Os04t0681900-01	0.1656	1.5464	0.1071
Bradi4g20338	Os11t0276000-01	0.0833	0.4936	0.1687
Bradi1g10440	Os03t0721300-01	0.4790	6.7829	0.0706
Bradi2g04220	Os01t0168600-01	0.2031	1.2989	0.1563
Bradi2g07082	Os01t0218800-01	0.1432	0.6144	0.2331
Bradi3g50740	Os02t0658800-01	0.1159	0.5733	0.2022
Bradi1g14750	Os03t0610400-01	0.1492	0.8198	0.1820
Bradi3g13150	Os08t0104400-01	0.0607	0.4444	0.1366
Bradi3g60018	Os02t0781300-00	0.1106	0.5265	0.2101
Bradi2g25870	Os05t0402300-02	0.0978	0.5205	0.1879
Bradi4g39780	Os12t0231000-01	0.0967	0.4816	0.2009
Bradi5g11230	Os04t0321100-00	0.0577	0.3892	0.1481
Bradi3g51490	Os02t0673500-01	0.1094	0.5638	0.1941
Bradi1g07750	Os03t0763000-01	0.0909	0.4515	0.2012
Bradi5g26620	Os04t0685200-01	0.1812	0.4821	0.3759
Bradi3g55410	Os02t0817600-01	0.0873	0.9687	0.0901
